S,C,T
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,-1,1
switch,-1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,-1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,1,0
switch,1,1
switch,1,1
switch,-1,1
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,1
switch,-1,1
switch,-1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,-1,1
switch,1,0
switch,1,1
switch,1,1
switch,1,0
switch,1,0
switch,-1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,1
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,1
switch,-1,0
switch,1,0
switch,-1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,1
switch,-1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,-1,0
switch,-1,0
switch,-1,0
switch,-1,0
switch,1,1
switch,-1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,1,0
switch,-1,1
switch,-1,0
switch,1,1
switch,1,1
switch,-1,1
switch,1,0
switch,1,0
switch,1,1
switch,-1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,0
switch,1,0
switch,-1,1
switch,1,1
switch,-1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,-1,0
switch,-1,1
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,1
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,1
switch,-1,1
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,1
switch,-1,1
switch,1,1
switch,-1,1
switch,1,0
switch,1,1
switch,1,0
switch,-1,1
switch,-1,0
switch,1,1
switch,1,0
switch,-1,0
switch,1,1
switch,-1,0
switch,1,1
switch,1,0
switch,-1,1
switch,-1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,1
switch,-1,1
switch,1,0
switch,-1,1
switch,-1,1
switch,1,0
switch,-1,1
switch,-1,1
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,1,1
switch,-1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,1
switch,-1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,1
switch,1,1
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,1
switch,-1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,1
switch,-1,1
switch,-1,1
switch,1,1
switch,1,0
switch,1,1
switch,-1,1
switch,1,1
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,1
switch,1,0
switch,1,1
switch,1,1
switch,1,0
switch,-1,1
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,-1,0
switch,1,1
switch,-1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,-1,1
switch,1,1
switch,-1,0
switch,1,0
switch,-1,1
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,1,0
switch,-1,1
switch,1,1
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,1,1
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,-1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,1
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,-1,0
switch,-1,0
switch,-1,0
switch,-1,1
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,1
switch,-1,1
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,1
switch,1,1
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,1
switch,1,1
switch,1,1
switch,-1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,-1,1
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,-1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,0
switch,-1,0
switch,-1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,-1,1
switch,1,0
switch,-1,1
switch,-1,0
switch,-1,1
switch,1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,1
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,-1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,1
switch,1,0
switch,-1,1
switch,-1,1
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,1
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,1
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,-1,1
switch,-1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,1,1
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,-1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,-1,1
switch,-1,1
switch,-1,0
switch,1,0
switch,1,1
switch,-1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,1,1
switch,-1,1
switch,-1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,1
switch,-1,0
switch,-1,0
switch,1,0
switch,-1,1
switch,1,1
switch,1,0
switch,-1,1
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,1
switch,1,1
switch,1,0
switch,-1,1
switch,-1,1
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,1
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,-1,1
switch,1,1
switch,1,0
switch,-1,1
switch,-1,1
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,1,1
switch,1,1
switch,-1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,-1,1
switch,-1,0
switch,1,0
switch,1,0
switch,-1,1
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,1
switch,-1,0
switch,-1,1
switch,-1,1
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,1
switch,1,1
switch,-1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,1
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,1,1
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,-1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,1
switch,1,1
switch,-1,1
switch,-1,1
switch,-1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,1,1
switch,-1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,1
switch,1,1
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,1
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,-1,1
switch,1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,-1,1
switch,1,1
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,1
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,1,0
switch,-1,1
switch,-1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,1
switch,-1,1
switch,-1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,1
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,-1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,-1,1
switch,-1,0
switch,-1,1
switch,1,1
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,1
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,1
switch,-1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,1
switch,-1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,1
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,1
switch,1,0
switch,1,1
switch,-1,0
switch,1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,1
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,1
switch,1,1
switch,-1,0
switch,-1,1
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,-1,1
switch,1,1
switch,-1,0
switch,-1,1
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,1
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,0
switch,-1,1
switch,1,0
switch,1,0
switch,-1,1
switch,1,1
switch,-1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,1
switch,-1,1
switch,1,0
switch,-1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,-1,1
switch,1,0
switch,1,1
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,1,1
switch,1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,1
switch,1,1
switch,-1,0
switch,-1,1
switch,1,1
switch,1,1
switch,1,1
switch,1,0
switch,1,1
switch,-1,1
switch,-1,1
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,-1,1
switch,-1,0
switch,-1,0
switch,-1,0
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,-1,0
switch,-1,1
switch,-1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,1
switch,-1,1
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,-1,1
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,1
switch,-1,1
switch,-1,0
switch,1,0
switch,-1,0
switch,1,1
switch,-1,0
switch,1,1
switch,1,1
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,1
switch,1,1
switch,1,1
switch,1,0
switch,1,0
switch,1,1
switch,1,1
switch,-1,0
switch,1,1
switch,1,1
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,0
switch,1,1
switch,-1,0
switch,-1,0
switch,-1,0
switch,1,0
switch,1,1
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,-1,1
switch,-1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,1
switch,1,0
switch,-1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,0
switch,-1,1
switch,-1,0
switch,-1,1
switch,-1,1
switch,1,0
switch,1,0
switch,-1,0
switch,1,1
switch,1,0
switch,-1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,0
switch,1,1
switch,-1,1
switch,-1,0
switch,1,0
switch,1,0
switch,1,1
switch,1,0
switch,1,0
switch,1,1
switch,-1,1
switch,-1,0
switch,-1,1
switch,1,0
switch,1,1
switch,1,1
switch,1,0
switch,1,1
switch,1,0
switch,-1,1
switch,-1,0
switch,1,0
switch,1,1
switch,-1,0
switch,1,1
switch,1,0
switch,-1,0
switch,-1,1
switch,1,1
switch,1,0
switch,1,0
switch,1,0
switch,-1,0
switch,1,0
switch,1,1
switch,1,1
switch,1,0
switch,1,1
switch,1,0
switch,-1,1
switch,1,0
switch,1,0
switch,1,0
